claim_key,element,initial_label,label_confidence,label_rationale,paper_id,tissue
015_Pleijel_2009::Zn::grain,Zn,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,015_Pleijel_2009,grain
019_Baxter_1994::Ca::whole,Ca,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,019_Baxter_1994,whole plant
019_Baxter_1994::K::whole,K,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,019_Baxter_1994,whole plant
019_Baxter_1994::Mg::whole,Mg,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,019_Baxter_1994,whole plant
019_Baxter_1994::N::whole,N,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,019_Baxter_1994,whole plant
019_Baxter_1994::P::whole,P,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,019_Baxter_1994,whole plant
026_Seneweera_1997::Ca::blade,Ca,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,blade
026_Seneweera_1997::Ca::leaf,Ca,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,leaf
026_Seneweera_1997::Ca::sheath,Ca,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,sheath
026_Seneweera_1997::N::blade,N,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,blade
026_Seneweera_1997::N::grain,N,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,grain
026_Seneweera_1997::N::leaf,N,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,leaf
026_Seneweera_1997::N::sheath,N,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,sheath
026_Seneweera_1997::P::blade,P,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,blade
026_Seneweera_1997::P::grain,P,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,grain
026_Seneweera_1997::P::leaf,P,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,leaf
026_Seneweera_1997::P::sheath,P,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,sheath
026_Seneweera_1997::Zn::blade,Zn,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,blade
026_Seneweera_1997::Zn::leaf,Zn,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,leaf
026_Seneweera_1997::Zn::sheath,Zn,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",026_Seneweera_1997,sheath
034_Johnson_1997::B::leaf,B,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::B::stem,B,unclear,low,Current evidence is mixed; keep unresolved in the pilot subset.,034_Johnson_1997,stem
034_Johnson_1997::Ca::leaf,Ca,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::Ca::stem,Ca,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,stem
034_Johnson_1997::Cu::leaf,Cu,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,leaf
034_Johnson_1997::Cu::stem,Cu,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,stem
034_Johnson_1997::Fe::leaf,Fe,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,leaf
034_Johnson_1997::Fe::stem,Fe,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,stem
034_Johnson_1997::K::leaf,K,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::K::stem,K,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,stem
034_Johnson_1997::Mg::leaf,Mg,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::Mg::stem,Mg,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,stem
034_Johnson_1997::Mg::whole,Mg,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,whole plant
034_Johnson_1997::Mn::leaf,Mn,clean_support,medium,Cross-model direction support is present with limited disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::Mn::stem,Mn,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,stem
034_Johnson_1997::N::leaf,N,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::N::stem,N,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,stem
034_Johnson_1997::N::whole,N,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,whole plant
034_Johnson_1997::P::leaf,P,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::P::stem,P,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,stem
034_Johnson_1997::P::whole,P,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,whole plant
034_Johnson_1997::S::leaf,S,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,034_Johnson_1997,leaf
034_Johnson_1997::S::stem,S,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,stem
034_Johnson_1997::S::whole,S,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,whole plant
034_Johnson_1997::Zn::leaf,Zn,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,leaf
034_Johnson_1997::Zn::stem,Zn,unclear,low,Claim appears only in disagreement structure without stable consensus support.,034_Johnson_1997,stem
035_Oksanen_2005::B::leaf,B,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::Ca::leaf,Ca,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::Cu::leaf,Cu,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::Fe::leaf,Fe,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::K::leaf,K,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::Mg::leaf,Mg,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::Mn::leaf,Mn,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::N::leaf,N,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::P::leaf,P,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::S::leaf,S,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
035_Oksanen_2005::Zn::leaf,Zn,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",035_Oksanen_2005,leaf
047_Rodenkirchen_2009::Ca::whole,Ca,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
047_Rodenkirchen_2009::Cu::whole,Cu,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
047_Rodenkirchen_2009::Fe::whole,Fe,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
047_Rodenkirchen_2009::K::total plant,K,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,total plant
047_Rodenkirchen_2009::K::whole,K,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,shoot
047_Rodenkirchen_2009::Mg::whole,Mg,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,shoot
047_Rodenkirchen_2009::Mn::whole,Mn,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
047_Rodenkirchen_2009::N::total plant,N,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,total plant
047_Rodenkirchen_2009::N::whole,N,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
047_Rodenkirchen_2009::P::root,P,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,root
047_Rodenkirchen_2009::P::total plant,P,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,total plant
047_Rodenkirchen_2009::P::whole,P,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,shoot
047_Rodenkirchen_2009::S::whole,S,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
047_Rodenkirchen_2009::Zn::whole,Zn,likely_extraction_coverage_problem,high,Report explicitly marks the paper as skipped / zero-match / non-comparable concentration data.,047_Rodenkirchen_2009,whole plant
050_Polley_2011::C::tiller,C,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::Ca::leaf,Ca,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,leaf
050_Polley_2011::Ca::tiller,Ca,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::Cu::tiller,Cu,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::Fe::tiller,Fe,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::K::tiller,K,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::Mg::tiller,Mg,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::Mn::tiller,Mn,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::N::tiller,N,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::P::leaf,P,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,leaf
050_Polley_2011::P::tiller,P,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
050_Polley_2011::Zn::tiller,Zn,likely_alignment_or_structure_problem,medium,Factorial structure and treatment/control ambiguity raise alignment risk.,050_Polley_2011,tiller
