row_id,paper_id,title,year,outcome,outcome_unit,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,sd_treatment,sd_control,se_treatment,se_control,treatment_description,control_description,confidence,source_type,notes,moderators
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::15,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,27.28,37.68,-27.600849256900204,,,LSD,12.547,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Organic with biofertilizers treatment. Variety x production system interaction (2012). Large conventional advantage for Sree Vijaya.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'Sree Vijaya', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::16,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,25.56,25.63,-0.2731174404994159,,,LSD,12.547,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Organic with biofertilizers treatment. Variety x production system interaction (2012). Nearly identical yields.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'Vellayani Hraswa', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::17,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield per plant,kg plant-1,2.379,2.179,9.178522257916484,,,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Per-plant yield. CD(0.05) = NS for 2011. Pooled across 3 varieties.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 1.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2011.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::18,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield per plant,kg plant-1,2.369,2.223,6.567701304543426,,,LSD,0.323,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Per-plant yield. CD(0.05) = 0.323 kg/plant for production systems in 2012. Pooled across 3 varieties.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::Aslam_2020_Comparative_economic_analysis_of_crop::19,Aslam_2020_Comparative_economic_analysis_of_crop,"Comparative economic analysis of crop yield under organic and conventional farming systems in Punjab, Pakistan",2020,Wheat grain yield,kg/ha,3628.49,4482.16,-19.04595105931069,88.0,95.0,SE,,,,59.92,87.88,"Organic farming (natural manure, minimal pesticides)","Conventional farming (NPK fertilizers, synthetic pesticides)",medium,table,"Survey of 300 farmers (153 organic, 147 conventional) in 2019. Parenthetical values in Table 4 interpreted as SE based on large sample sizes (SE with n~90 gives realistic CV~15%). Mean difference 853.67 kg/ha reported as significant (T=4.63 for within-organic district comparison, T=4.02 for within-conventional). Rabi season wheat.","{'mod_crop_type': 'cereal', 'mod_crop_species': 'wheat', 'mod_region': 'Toba Tek Singh, Punjab, Pakistan', 'mod_climate_zone': 'subtropical', 'mod_study_duration': 1.0, 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'on-farm comparison', 'mod_irrigation': 'irrigated'}"
organic_yield_gap::Aslam_2020_Comparative_economic_analysis_of_crop::20,Aslam_2020_Comparative_economic_analysis_of_crop,"Comparative economic analysis of crop yield under organic and conventional farming systems in Punjab, Pakistan",2020,Wheat grain yield,kg/ha,3260.52,3718.78,-12.32285857189724,65.0,52.0,SE,,,,125.06,124.62,"Organic farming (natural manure, minimal pesticides)","Conventional farming (NPK fertilizers, synthetic pesticides)",medium,table,"Survey of 300 farmers in 2019. Jhang district. Parenthetical values interpreted as SE. Mean difference 458.26 kg/ha. Table 4 reports within-system district differences (566.03** and 613.66**) rather than organic-vs-conventional t-stats directly, but text states organic yield was significantly lower by 11% overall.","{'mod_crop_type': 'cereal', 'mod_crop_species': 'wheat', 'mod_region': 'Jhang, Punjab, Pakistan', 'mod_climate_zone': 'subtropical', 'mod_study_duration': 1.0, 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'on-farm comparison', 'mod_irrigation': 'irrigated'}"
organic_yield_gap::AzadSinghPanwar_2022_Effect_of_organic_farming_on::21,AzadSinghPanwar_2022_Effect_of_organic_farming_on,"Effect of organic farming on the restoration of soil quality, ecosystem services, and productivity in rice–wheat agro-ecosystems",2022,Rice grain yield,kg/ha,3740.1,3498.0,6.921097770154372,,,LSD,123.4,,,,,"Organic crop management (FYM 7.84 t/ha, vermicompost 3.13 t/ha, neem cake 853 kg, Sesbania green manuring)","Inorganic crop management (DAP, muriate of potash, urea; recommended NPK doses)",high,table,"Organic rice yield significantly HIGHER than inorganic. Data averaged across 4 locations and 15 years (2004-05 to 2017-18). LSD is for crop management main effect comparison. n not explicitly stated; design has 3 reps at each of 4 locations = 12 plots per treatment per year, averaged over 15 years. Organic management included Sesbania green manuring which likely boosted rice yield.","{'mod_crop_type': 'cereal', 'mod_crop_species': 'rice', 'mod_region': 'India (Indo-Gangetic Plains)', 'mod_climate_zone': 'subtropical/humid subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'long-term trial', 'mod_irrigation': 'irrigated', 'mod_soil_type': 'sandy loam to alluvial', 'mod_study_duration_years': 15.0, 'mod_locations': 'Jabalpur, Ludhiana, Pantnagar, Modipuram', 'mod_design': 'factorial RBD, 3 reps x 4 locations', 'mod_rice_cultivars': 'Pusa Basmati-1 (Modipuram, Pantnagar, Jabalpur), Punjab Basmati-3 (Ludhiana)'}"
organic_yield_gap::AzadSinghPanwar_2022_Effect_of_organic_farming_on::22,AzadSinghPanwar_2022_Effect_of_organic_farming_on,"Effect of organic farming on the restoration of soil quality, ecosystem services, and productivity in rice–wheat agro-ecosystems",2022,Wheat grain yield,kg/ha,3702.0,4078.2,-9.224657937325286,,,LSD,181.1,,,,,"Organic crop management (FYM, vermicompost, oilcake; N at 80 kg/ha and 55 kg/ha in two splits)","Inorganic crop management (DAP, muriate of potash, urea; recommended NPK doses)",high,table,"Organic wheat yield significantly LOWER than inorganic, consistent with expected negative yield gap. Data averaged across 4 locations and 15 years. LSD is for crop management main effect. Wheat appears more sensitive to organic management than rice in this system.","{'mod_crop_type': 'cereal', 'mod_crop_species': 'wheat', 'mod_region': 'India (Indo-Gangetic Plains)', 'mod_climate_zone': 'subtropical/humid subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'long-term trial', 'mod_irrigation': 'irrigated', 'mod_soil_type': 'sandy loam to alluvial', 'mod_study_duration_years': 15.0, 'mod_locations': 'Jabalpur, Ludhiana, Pantnagar, Modipuram', 'mod_design': 'factorial RBD, 3 reps x 4 locations', 'mod_wheat_cultivars': 'HI 8713 (Modipuram), PBW-725 (Ludhiana), UP-2572 (Pantnagar), MPO-1106 (Jabalpur)'}"
organic_yield_gap::Connor_2024_Analysis_of_farming_systems_establishes::24,Connor_2024_Analysis_of_farming_systems_establishes,Analysis of farming systems establishes the low productivity of organic agriculture and inadequacy as a global option for food supply,2024,"Human metabolizable energy (HME) - grain only, organic crop farms vs conventional crop farms",GJ/ha/yr,33.15,85.0,-61.0,56.0,76.0,,,,,,,"Organic farming without livestock (OFC), Paris Region France, grain HME only. Derived: 0.39 x 85 = 33.15 GJ/ha/yr","Conventional farming without livestock (CFC), Paris Region France, grain HME",medium,text,"COMMENTARY PAPER - no primary data. Treatment mean derived: paper reports OFC/CFC grain HME ratio = 0.39 and CFC = 85 GJ/ha/yr (stated in text). 56 OFC farms, 76 CFC farms. Rotations in OA typically 7-9 years with legume-based fodder; CA rotations short ~3 years.","{'mod_crop_type': 'mixed grain crops (cereals, oilseeds, grain legumes)', 'mod_crop_species': 'mixed', 'mod_region': 'Paris Region, France', 'mod_climate_zone': 'temperate', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'on-farm comparison (commercial-scale)', 'mod_data_source': 'Anglade et al. 2015 (ref 15); Connor 2021 (ref 16)', 'mod_system_comparison': 'OFC vs CFC', 'mod_metric': 'grain HME'}"
organic_yield_gap::Connor_2024_Analysis_of_farming_systems_establishes::25,Connor_2024_Analysis_of_farming_systems_establishes,Analysis of farming systems establishes the low productivity of organic agriculture and inadequacy as a global option for food supply,2024,"Human metabolizable energy (HME) - grain only, organic mixed crop-livestock vs conventional crop farms",GJ/ha/yr,22.95,85.0,-73.0,14.0,76.0,,,,,,,"Organic mixed crop-livestock farms (OMCL), Paris Region France, grain HME only. Derived: 0.27 x 85 = 22.95 GJ/ha/yr","Conventional farming without livestock (CFC), Paris Region France, grain HME",medium,text,COMMENTARY PAPER - no primary data. Treatment mean derived: paper reports OMCL/CFC grain HME ratio = 0.27 and CFC = 85 GJ/ha/yr. Only 14 OMCL farms vs 76 CFC farms. This ratio excludes milk production from OMCL livestock.,"{'mod_crop_type': 'mixed grain crops (cereals, oilseeds, grain legumes)', 'mod_crop_species': 'mixed', 'mod_region': 'Paris Region, France', 'mod_climate_zone': 'temperate', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'on-farm comparison (commercial-scale)', 'mod_data_source': 'Anglade et al. 2015 (ref 15); Connor 2021 (ref 16)', 'mod_system_comparison': 'OMCL vs CFC', 'mod_metric': 'grain HME only (excludes milk)'}"
organic_yield_gap::Connor_2024_Analysis_of_farming_systems_establishes::26,Connor_2024_Analysis_of_farming_systems_establishes,Analysis of farming systems establishes the low productivity of organic agriculture and inadequacy as a global option for food supply,2024,"Human metabolizable energy (HME) - total food (grain + milk), organic mixed crop-livestock vs conventional crop farms",GJ/ha/yr,30.0,85.0,-64.70588235294117,14.0,76.0,,,,,,,"Organic mixed crop-livestock farms (OMCL), Paris Region France, total food HME (grain + milk). Directly stated as 30 GJ/ha/yr","Conventional farming without livestock (CFC), Paris Region France, total HME (grain only, as CFC has no livestock). Directly stated as 85 GJ/ha/yr",high,text,COMMENTARY PAPER - no primary data. Both means directly stated in text: 'a major difference in food production (HME) between the OA (30 GJ/ha/yr) and CA systems (85 GJ/ha/y)'. Ratio = 0.35. This is the most favorable OA comparison (includes milk from ruminant conversion of pasture). 14 OMCL vs 76 CFC farms.,"{'mod_crop_type': 'mixed grain + dairy', 'mod_crop_species': 'mixed cereals, oilseeds, grain legumes + dairy cattle', 'mod_region': 'Paris Region, France', 'mod_climate_zone': 'temperate', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'on-farm comparison (commercial-scale)', 'mod_data_source': 'Anglade et al. 2015 (ref 15); Connor 2021 (ref 16)', 'mod_system_comparison': 'OMCL vs CFC', 'mod_metric': 'total food HME (grain + milk)'}"
organic_yield_gap::Connor_2024_Analysis_of_farming_systems_establishes::27,Connor_2024_Analysis_of_farming_systems_establishes,Analysis of farming systems establishes the low productivity of organic agriculture and inadequacy as a global option for food supply,2024,"Human metabolizable energy (HME) - total food (milk + remaining grain), southernmost region",GJ/ha,29.0,82.0,-64.63414634146342,,,,,,,,,"Organic farming, southernmost Swedish region (most productive), HME from milk + remaining grain","Conventional farming, southernmost Swedish region, HME from milk + remaining grain",medium,text,"COMMENTARY PAPER - no primary data. Values from Swedish government statistics across 8 S-N regions. This is the southernmost (most productive) region endpoint. OA/CA ratio ~0.35. No per-region sample sizes given; total national areas: OA 331,970 ha, CA 1,724,790 ha.","{'mod_crop_type': 'mixed grain + dairy', 'mod_crop_species': 'wheat, barley, oats, field pea, faba bean, rapeseed, potato, turnips + dairy cattle', 'mod_region': 'Sweden, southernmost region', 'mod_climate_zone': 'temperate', 'mod_organic_certification_status': 'certified', 'mod_experiment_type': 'government statistics (farm-level)', 'mod_data_source': 'SCB Statistics Sweden 2017 (ref 17)', 'mod_system_comparison': 'OA vs CA, southern region', 'mod_OA_area_ha': 331970.0, 'mod_CA_area_ha': 1724790.0, 'mod_total_regions': 8.0}"
organic_yield_gap::Connor_2024_Analysis_of_farming_systems_establishes::28,Connor_2024_Analysis_of_farming_systems_establishes,Analysis of farming systems establishes the low productivity of organic agriculture and inadequacy as a global option for food supply,2024,"Human metabolizable energy (HME) - total food (milk + remaining grain), northernmost region",GJ/ha,10.0,18.0,-44.44444444444444,,,,,,,,,"Organic farming, northernmost Swedish region (least productive), HME from milk + remaining grain","Conventional farming, northernmost Swedish region, HME from milk + remaining grain",medium,text,COMMENTARY PAPER - no primary data. Northernmost region endpoint. OA/CA ratio ~0.56. OA does relatively better in the north where farming restricted to pasture + few hardy crops. Higher OA/CA ratio reflects lower CA intensification potential.,"{'mod_crop_type': 'mixed grain + dairy', 'mod_crop_species': 'hardy cereals + dairy cattle (limited crop choice due to short season)', 'mod_region': 'Sweden, northernmost region', 'mod_climate_zone': 'subarctic/boreal', 'mod_organic_certification_status': 'certified', 'mod_experiment_type': 'government statistics (farm-level)', 'mod_data_source': 'SCB Statistics Sweden 2017 (ref 17)', 'mod_system_comparison': 'OA vs CA, northern region', 'mod_OA_area_ha': 331970.0, 'mod_CA_area_ha': 1724790.0, 'mod_total_regions': 8.0}"
organic_yield_gap::Connor_2024_Analysis_of_farming_systems_establishes::29,Connor_2024_Analysis_of_farming_systems_establishes,Analysis of farming systems establishes the low productivity of organic agriculture and inadequacy as a global option for food supply,2024,Wheat grain yield - organic after 3yr lucerne vs conventional regional average,t/ha,3.2,7.0,-54.285714285714285,,,,,,,,,"Organic wheat yield following 3 years of lucerne in a well-documented rotational experiment, Paris Basin","Conventional wheat, regional average yield, Paris Basin",medium,text,"COMMENTARY PAPER - no primary data. OA wheat yield 3.2 t/ha described as 'closer to 1960 yields'. CA regional average 7 t/ha. No variance or n reported. The OA yield is after a record-breaking 3yr lucerne rotation (best-case BNF scenario), yet still far below CA. High CA wheat yields of 10 t/ha achievable in France/Germany with chemical fertilizer.","{'mod_crop_type': 'cereal', 'mod_crop_species': 'wheat', 'mod_region': 'Paris Basin, France', 'mod_climate_zone': 'temperate', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'long-term trial (rotational experiment)', 'mod_irrigation': 'rainfed', 'mod_data_source': 'Anglade et al. 2015 (ref 8)'}"
