doi,title,year,oa_status,estimated_downloadable
10.21608/asejaiqjsae.2018.10601,"Effect of Potassium Humate Application on Yield and Nutrient Uptake of Maize Grown In a Calcareous Soil",2018,gold_oa,yes
10.21608/jssae.2015.42193,"Effect of Potassium Humate Application and Irrigation Water Levels on Maize Yield Crop Water Productivity and Some Soil Properties",2015,gold_oa,yes
10.1007/s11368-018-02240-z,"Effect of humic preparation on winter wheat productivity and rhizosphere microbial community under herbicide-induced stress",2019,closed,no
10.1515/agri-2016-0009,"Spring Barley Yield Parameters after Lignite Sodium Humate and Nitrogen Utilization",2016,gold_oa,yes
10.1016/0160-4120(96)00043-8,"Application of humus preparations from oxyhumolite in crop production",1996,closed,no
10.21608/jssae.2015.42193,"Effect of Potassium Humate Application and Irrigation Water Levels on Maize Yield Crop Water Productivity and Some Soil Properties",2015,gold_oa,yes
10.21162/pakjas/19.8151,"Effect of Phosphoric Acid and Potassium Humate on Growth and Yield of Maize in Saline-Sodic Soil",2019,gold_oa,yes
10.21608/mjss.2018.175436,"Response of Maize Plants to Different N-Sources and Foliar Application of Potassium Humate",2018,gold_oa,yes
10.1080/02571862.2021.2000051,"Is application of commercial potassium humates beneficial to soil and wheat?",2022,closed,no
10.5958/2249-5266.2017.00026.1,"Nutrient uptake and yield of rice as influenced by coal derived potassium humate and chemical fertilizers",2017,unknown,unknown
10.23910/ijbsm/2017.8.5.1826,"Improvement of Soil Fertility and Rice Productivity with Use of Coal Derived Humic Acid and Mineral Fertilization under Inceptisol of Varanasi India",2017,gold_oa,yes
10.3390/ijpb15040076,"Microbiomes-Plant Interactions and K-Humate Application for Salinity Stress Mitigation and Yield Enhancement in Wheat and Faba Bean in Egypt",2024,gold_oa,yes
10.3390/plants9111444,"Impact of Seed Dressing and Soil Application of Potassium Humate on Cotton Plants Productivity and Fiber Quality",2020,gold_oa,yes
10.5897/ajar11.840,"Selection based on tolerance of wheat against terminal drought: Focus on grain yield at the presence of liquid humic fertilizer",2011,gold_oa,yes
10.1016/j.envres.2021.110824,"The influence of fulvic acid on spring cereals and sugar beets seed germination and plant productivity",2021,closed,no
10.1038/s41598-020-65730-6,"Biochar and fulvic acid amendments mitigate negative effects of coastal saline soil and improve crop yields in a three year field trial",2020,gold_oa,yes
10.1186/s42269-018-0040-3,"Improve quality and productivity of some faba bean cultivars with foliar application of fulvic acid",2019,gold_oa,yes
10.1093/jxb/eraa283,"Fulvic acid increases forage legume growth inducing preferential up-regulation of nodulation and signalling-related genes",2020,gold_oa,yes
10.1016/j.jhazmat.2023.132399,"Remediation of the microecological environment of heavy metal-contaminated soil with fulvic acid improves the quality and yield of apple",2023,closed,no
10.1007/s00344-015-9509-6,"Improving Winter Wheat Performance by Foliar Spray of ABA and FA Under Water Deficit Conditions",2015,closed,no
10.1139/cjps-2016-0143,"Fulvic and humic acid fertilizers are ineffective in dry bean",2016,closed,no
10.21608/jssae.2011.55419,"Impact of Applied Humic and Fulvic Acids on the Soil Physic-Chemical Properties and Cucumber Productivity under Protected Cultivation Conditions",2011,gold_oa,yes
10.1080/01904167.2022.2046063,"Promote sugar beet cultivation in saline soil by applying humic substances in-soil and mineral nitrogen fertilization",2022,closed,no
10.5513/jcea01/19.1.2033,"Response of sugar beet to humic substances and foliar fertilization with potassium",2018,gold_oa,yes
10.4067/s0718-58392019000300435,"Co-application of soil superabsorbent polymer and foliar fulvic acid to increase tolerance to water deficit maize",2019,gold_oa,yes
10.3390/plants13233380,"Evaluation of Two Different Methods of Fulvic Acid Application on Growth Yield and Nutritional Quality of Pea",2024,gold_oa,yes
10.18393/ejss.1197785,"Effect of humic substances on yield and nutrient contents of Eggplant Santana plants in gray-brown soil",2022,gold_oa,yes
10.1080/15440478.2016.1167648,"Effects of Humic Substances Obtained from Shives on Flax Yield Characteristics",2016,closed,no
10.21608/fjard.2019.190241,"Influence of Addition Methods of Fulvic Acid and Foliar Spray with Potassium Sources on Productivity and Quality of Potato Crop",2019,gold_oa,yes
10.21608/asejaiqjsae.2020.93900,"Effects of Different Nitrogen Fertilization Rates and Foliar Application of Humic Acid Fulvic Acid and Tryptophan on Growth Productivity and Chemical Composition of Common Bean Plants",2020,gold_oa,yes
10.2134/cftm2018.07.0053,"Application of a Formulated Humic Product Can Increase Soybean Yield",2019,gold_oa,yes
10.1007/s13165-023-00437-2,"Effect of fulvic acid on yield performance of organic bell pepper under open-field conditions in Tennessee",2023,closed,no
10.1038/s41598-025-04747-1,"Boron bioavailability enhanced by foliar applied fulvic acid to improve grain yield and quality of fine basmati rice",2025,gold_oa,yes
10.5513/jcea01/18.3.1933,"The effects of fulvic acid application on seed and oil yield of safflower cultivars",2017,gold_oa,yes
10.17221/4/2010-swr,"Effect of different levels of humic acids on the nutrient content plant growth and soil properties under conditions of salinity",2011,gold_oa,yes
,Effects of Leonardite Applications on Yield and Some Quality Parameters of Potatoes,2013,unknown,unknown
10.4236/ajps.2014.515241,"Evaluation of Humic Acid Application Methods for Yield and Yield Components of Mungbean",2014,gold_oa,yes
10.3389/fpls.2021.736613,"Dose-Dependent Application of Straw-Derived Fulvic Acid on Yield and Quality of Tomato Plants Grown in a Greenhouse",2021,gold_oa,yes
10.17503/agrivita-2015-37-2-p185-192,"Determination of Urea-Humic Acid Dosage of Vertisols on the Growth and Production of Rice",2015,gold_oa,yes
10.3329/bjb.v43i2.21671,"Effects of potassium humate and chemical fertilizers on growth yield and quality of rice",2015,gold_oa,yes
10.21608/jpp.2018.35707,"Effect of Potassium Humate and Nitrogen Fertilization on Yield and Quality of Sugar Beet in Sandy Soil",2018,gold_oa,yes
10.24925/turjaf.v8i8.1763-1772.3504,"Effects of Leonardite and Mineral Fertilizer Applications on Plant Growth and Soil Quality of Garlic",2020,gold_oa,yes
10.13080/z-a.2019.106.039,"A complex assessment of mineral fertilizers with humic substances in an agroecosystem of acid soil",2019,gold_oa,yes
10.3390/agronomy13081958,"Humate-Coated Urea as a Tool to Decrease Nitrogen Losses in Soil",2023,gold_oa,yes
10.1186/s42269-020-00318-8,"Effect of soil application of humic acid and bio-humic on yield and fruit quality of Kalamata olive trees",2020,gold_oa,yes
10.1186/s42269-019-0067-0,"Enhancement quality and quantity of faba bean plants grown under sandy soil conditions by nicotinamide and/or humic acid application",2019,gold_oa,yes
10.1002/jpln.202300280,"Humalite enhances the growth grain yield and protein content of wheat by improving soil nitrogen availability and nutrient uptake",2024,gold_oa,yes
10.2478/v10046-012-0028-6,"Effect of Humic Substances on Nutrient Status and Yield of Onion in Field Conditions",2012,unknown,unknown
10.30910/turkjans.471297,"Investigating Combination and Individual Impact of Phosphorus and Humic Acid on Yield of Wheat and Some Soil Properties",2018,gold_oa,yes
10.1186/s12870-024-04863-6,"Applications of humic and fulvic acid under saline soil conditions to improve growth and yield in barley",2024,gold_oa,yes
10.1186/s12870-024-05184-4,"Mitigation of drought stress in maize and sorghum by humic acid: differential growth and physiological responses",2024,gold_oa,yes
10.15835/nbha3915812,"The Effects of Soil-Applied Humic Substances to the Dry Weight and Mineral Nutrient Uptake of Maize Plants under Soil-Salinity Conditions",2011,gold_oa,yes
10.3390/life13020448,"Application of Potassium Humate and Salicylic Acid to Mitigate Salinity Stress of Common Bean",2023,gold_oa,yes
10.21608/jpp.2020.84607,"Response of Potato Growth Yield and Quality to Fulvic Acid and Biochar Applications under Different Levels of Chemical Fertilization",2020,gold_oa,yes
