rank,doi,title,year,decision,intervention_match,comparator_match,outcome_match,reason,adjudication_notes
11,10.3389/fpls.2018.01655,"Synergistic Biostimulatory Action: Designing the Next Generation of Plant Biostimulants for Sustainable Agriculture",2018,EXCLUDE,YES,NO,YES,"Review/perspective on biostimulants. No primary yield data.","Exclude: study_type=review."
12,10.30848/pjb2024-3(41),"Response of integrated use of humic acid and chemical fertilizer on growth and yield of rice crop in calcareous soil",2024,UNSURE,PARTIAL,PARTIAL,YES,"HA + K + GA3 applied to rice. Grain yield, 1000-grain weight reported. HA co-applied with K and GA3 - not clearly isolated. However 'integrated use of humic acid and chemical fertilizer' suggests HA+standard fertilizer vs fertilizer alone.","Needs full text. If design has HA+RDF vs RDF-only arm: INCLUDE (isolates HA). If GA3 and K are also varied: may be confounded."
13,10.1051/agro:2005017,"Effect of foliar application of N and humic acids on growth and yield of durum wheat",2005,UNSURE,PARTIAL,YES,YES,"Foliar N and HA applied to durum wheat. Yield reported. 2005 paper from Agronomy for Sustainable Development. HA co-applied with N fertilizer.","Known challenge: HA+N vs N-only is acceptable (isolates HA effect), but if no HA-without-N arm exists this could be complex. Needs full text."
14,10.1023/a:1009823600950,"Amelioration of Al toxicity and P deficiency in acid soils by additions of organic residues: a critical review",2001,EXCLUDE,NO,NO,NO,"Review on organic residues for soil chemistry. Humic acid is not the applied treatment. No HA application vs control yield comparison. Off-topic.","Exclude: study_type=review AND intervention_match=NO."
15,10.1073/pnas.0401349101,"Nitrogen-bonded aromatics in soil organic matter and their implications for a yield decline in intensive rice cropping",2004,EXCLUDE,NO,NO,NO,"Mechanistic NMR study. Humic acid is a soil fraction analyzed analytically, not applied as treatment. No crop yield comparison. Soil chemistry study.","Exclude: intervention_match=NO. Completely off-topic for HA application estimand."
16,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought and phosphorus deficiency stress in maize",2020,INCLUDE,YES,YES,YES,"Field trial with leonardite-HA on maize under drought/P-stress. Grain yield reported as primary outcome alongside stress physiology. HA from leonardite is the isolated treatment vs unamended control.","INCLUDE. Grain yield is a reported outcome. Stress experiment is acceptable per config (field, maize). Leonardite is listed as acceptable HA source."
17,,The Recent Situation for Manufacturing Urea Humic Acid and Mechanism in Increasing Crop Yield,2004,EXCLUDE,YES,NO,NO,"Appears to be Chinese-language review. No DOI. No primary experiment data. Manufacturing/mechanism review.","Exclude: study_type=review, no_doi, non_english."
18,10.3390/agronomy10030319,"The Integration of Bio and Organic Fertilizers Improve Plant Growth Grain Yield Quality and Metabolism of Hybrid Maize",2020,EXCLUDE,PARTIAL,NO,YES,"Bio+organic fertilizer bundle (HA + biogas slurry + microbial inoculants). Grain yield reported. However HA cannot be isolated from biogas slurry and microbial inoculants in this design.","Exclude: intervention confounded. HA is one of 3+ co-applied inputs with no HA-alone arm identifiable from abstract."
19,10.1016/j.apsoil.2019.04.024,"Maize growth and nutrient uptake following integrated improvement of vermicompost and humic acid fertilizer on coastal saline soil",2019,EXCLUDE,PARTIAL,NO,YES,"Vermicompost AND HA fertilizer applied together. Cannot isolate HA effect from vermicompost. Confounded intervention.","Exclude: intervention confounded with vermicompost. No HA-only vs no-HA arm apparent."
20,10.1007/s11157-014-9347-1,"Vermicompost as an effective organic fertilizer and biocontrol agent: effect on growth yield and quality of plants",2014,EXCLUDE,NO,NO,YES,"Review of vermicompost as fertilizer. HA is a component of vermicompost discussed mechanistically. No HA application trial.","Exclude: study_type=review AND intervention_match=NO."
21,10.1007/s42729-022-00762-7,"Efficacy of Humic Acids and Chitosan for Enhancing Yield and Sugar Quality of Sugar Beet Under Moderate and Severe Drought",2022,UNSURE,PARTIAL,YES,YES,"HA and chitosan applied to sugar beet. Sugar beet yield and sugar quality reported. HA co-applied with chitosan. If factorial design has HA-only arm: INCLUDE.","Needs full text to check factorial structure. Known challenge: HA+chitosan co-application. Sugar beet yield is acceptable outcome."
22,10.3390/agronomy11010014,"Biostimulant-Treated Seedlings under Sustainable Agriculture: A Global Perspective Facing Climate Change",2020,EXCLUDE,YES,NO,YES,"Review of biostimulants for seedling treatment. No primary experiment data.","Exclude: study_type=review."
23,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,INCLUDE,YES,YES,YES,"Field experiment. HA added to SSP vs SSP alone on wheat in calcareous soil. Reports grain yield, straw yield, biological yield, yield components. HA is the isolated variable (SSP+HA vs SSP). Clear T/C structure.","High confidence INCLUDE. Field experiment, wheat, calcareous soil, HA isolated vs SSP control, multiple yield metrics."
24,10.3390/su11123417,"Integrated Use of Humic Acid and Plant Growth Promoting Rhizobacteria to Ensure Higher Potato Productivity",2019,UNSURE,PARTIAL,YES,YES,"HA + PGPR applied to potato. Tuber productivity reported (+140% vs control). HA co-applied with bacteria. If factorial design has HA-alone arm vs no-HA: INCLUDE.","Needs full text. If factorial: INCLUDE (HA-only arm). If always bundled with PGPR: EXCLUDE (confounded). ~140% effect is plausible for potato in optimal conditions."
25,10.1007/s11368-018-1916-4,"Humic products in agriculture: potential benefits and research challenges - a review",2018,EXCLUDE,YES,NO,YES,"Review of humic product use in agriculture. No primary experiment data.","Exclude: study_type=review."
