doi,title,year,decision,reason,journal
10.1051/agro:2005017,"Effect of foliar application of N and humic acids on growth and yield of durum wheat",2005,UNSURE,Foliar N and HA applied to durum wheat; yield reported; HA+N vs N-only is acceptable if HA-isolation arm exists; needs full text,Agronomy for Sustainable Development
10.1023/a:1009823600950,"Amelioration of Al toxicity and P deficiency in acid soils by additions of organic residues: a critical review",2001,EXCLUDE,Review on organic residues for soil chemistry; no HA application vs control yield comparison,Plant and Soil
10.1073/pnas.0401349101,"Nitrogen-bonded aromatics in soil organic matter and their implications for a yield decline in intensive rice cropping",2004,EXCLUDE,Mechanistic NMR study; HA is a soil fraction analyzed analytically not applied as treatment; no crop yield comparison,PNAS
10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought and phosphorus deficiency stress in maize",2020,INCLUDE,Field trial with leonardite-HA on maize under drought/P-stress; grain yield reported as primary outcome; HA from leonardite isolated vs unamended control; OA Scientific Reports,Scientific Reports
10.3390/agronomy10030319,"The Integration of Bio and Organic Fertilizers Improve Plant Growth Grain Yield Quality and Metabolism of Hybrid Maize",2020,EXCLUDE,Bio+organic fertilizer bundle (HA + biogas slurry + microbial inoculants); HA cannot be isolated from other co-applied inputs; intervention confounded,Agronomy
10.1007/s42729-022-00762-7,"Efficacy of Humic Acids and Chitosan for Enhancing Yield and Sugar Quality of Sugar Beet Under Moderate and Severe Drought",2022,UNSURE,HA and chitosan applied to sugar beet; sugar beet yield reported; HA co-applied with chitosan; needs full text to check if factorial design has HA-only arm,Journal of Soil Science and Plant Nutrition
10.3390/agronomy11010014,"Biostimulant-Treated Seedlings under Sustainable Agriculture: A Global Perspective Facing Climate Change",2020,EXCLUDE,Review of biostimulants for seedling treatment; no primary experiment data,Agronomy
10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,INCLUDE,Field experiment; HA added to SSP vs SSP alone on wheat; HA is the isolated variable; multiple yield metrics reported; calcareous soil; clear T/C structure,Agronomy
10.3390/su11123417,"Integrated Use of Humic Acid and Plant Growth Promoting Rhizobacteria to Ensure Higher Potato Productivity",2019,UNSURE,HA + PGPR applied to potato; tuber productivity reported; if factorial design has HA-alone arm vs no-HA: INCLUDE; needs full text,Sustainability
10.1007/s11368-018-1916-4,"Humic products in agriculture: potential benefits and research challenges — a review",2018,EXCLUDE,Review of humic product use in agriculture; no primary experiment data,Journal of Soils and Sediments
10.3390/agronomy10030438,"New Eco-Friendly Polymeric-Coated Urea Fertilizers Enhanced Crop Yield in Wheat",2020,EXCLUDE,Polymeric-coated urea trial; HA is not the isolated intervention variable; focus is polymer coating not humic acid,Agronomy
10.21271/zjpas.33.6.8,"Influence of cultivars plant geometry humic acid and their interactions on growth and yield of Niger crop",2021,INCLUDE,HA applied to Niger (oil crop); yield reported; HA is one treatment factor in factorial design; INCLUDE if HA vs no-HA arm is present as factor level,ZANCO Journal of Pure and Applied Sciences
10.1080/00103624.2020.1744631,"Nitrogen use Rationalization and Boosting Wheat Productivity by Applying Packages of Humic Amino Acids and Microorganisms",2020,EXCLUDE,HA + amino acids + microorganisms applied as a package; HA cannot be isolated from amino acids and microbial components; intervention confounded,Communications in Soil Science and Plant Analysis
10.1038/s41598-020-65749-9,"Potentials of organic manure and potassium forms on maize growth and production",2020,EXCLUDE,Organic manure and potassium forms trial; HA is not the isolated intervention; off-topic,Scientific Reports
10.1007/s11368-015-1186-3,"Effects of applying flue gas desulfurization gypsum and humic acid on soil physicochemical properties and rapeseed yield of a saline-sodic cropland",2015,INCLUDE,Gypsum + HA applied to saline-sodic soil; rapeseed yield reported; HA is one factor in factorial design; if HA vs no-HA arm exists: INCLUDE; field experiment,Journal of Soils and Sediments
10.1186/s40538-022-00295-2,"Plant hormone crosstalk mediated by humic acids",2022,EXCLUDE,Mechanistic review on HA-hormone crosstalk; no primary yield trial,Chemical and Biological Technologies in Agriculture
10.4141/s99-058,"Response of canola wheat and green beans to leonardite additions",2000,INCLUDE,Field experiment; leonardite (HA source) applied to canola/wheat/green beans; yield reported; leonardite vs no-leonardite control; OA Canadian Journal,Canadian Journal of Soil Science
10.1038/s41598-020-63925-5,"Effect of water soluble humic acid applied to potato foliage on plant growth photosynthesis characteristics and fresh tuber yield under different water deficits",2020,INCLUDE,HA applied to potato foliage; fresh tuber yield reported as primary outcome alongside growth; HA isolated variable; multiple water deficit levels; field-relevant; OA Scientific Reports,Scientific Reports
10.1016/j.jclepro.2019.06.241,"Evaluation of common bean seed yield and essential oils from fennel and dragonhead in intercropping system under humic acid application",2019,INCLUDE,HA applied in intercropping system; common bean seed yield reported; HA is the treatment variable; yield is primary outcome among several measured; INCLUDE,Journal of Cleaner Production
10.1007/s11540-010-9177-7,"Influence of Humic Products on Soil Health and Potato Production",2010,INCLUDE,HA products applied to potato; potato yield reported; HA isolated vs control; Potato Research journal,Potato Research
10.1186/s12870-023-04120-2,"The biological and biochemical composition of wheat as affected by the bio and organic fertilizers",2023,EXCLUDE,Bio+organic fertilizer bundle applied to wheat; HA is one component in a multi-input bundle; cannot isolate HA effect; also focuses on biochemical composition not yield,BMC Plant Biology
10.1371/journal.pone.0189715,"Responses of root physiological characteristics and yield of sweet potato to humic acid urea fertilizer",2017,INCLUDE,HA-urea fertilizer on sweet potato; tuber yield reported; HA-urea vs urea control isolates HA effect; PLoS ONE OA,PLoS ONE
10.1080/01904167.2015.1109106,"Effect of humic acid multinutrient fertilizers on yield and nutrient use efficiency of potato",2015,INCLUDE,HA multinutrient fertilizer on potato; yield reported; HA + nutrients vs nutrients alone isolates HA effect,Journal of Plant Nutrition
10.5897/sre10.1153,"The effect of different humic acid fertilization on yield and yield components performances of common millet",2011,INCLUDE,HA applied to common millet; yield and yield components reported; HA isolated variable at multiple rates; INCLUDE for total yield rows,Scientific Research and Essays
10.3390/plants14243770,"Preliminary Study on Synergistic Effects of Humic Acid and Seaweed Extract on Cereal Crop Yield and Competitiveness with Wild Weed Beets",2025,UNSURE,HA and seaweed extract applied to cereal crops; yield reported; HA co-applied with seaweed extract; needs full text to determine if HA-only arm exists in factorial,Plants
10.1016/j.scienta.2014.11.010,"Effect of zinc foliar spray alone and combined with humic acid or/and chitosan on growth nutrient elements content and yield of dry bean plants",2015,UNSURE,Zinc + HA + chitosan factorial on dry bean; yield reported; HA may be isolated as one factor level; needs full text to confirm HA-only arm,Scientia Horticulturae
10.21608/ejss.2025.366638.2047,"Compost Combined with Peanut Shells Biochar: Enhanced Formation and Structural Characteristics of Soil Humic Acids and Yield of Wheat Crop in a Clay Loam Soil",2025,EXCLUDE,Compost + biochar applied; HA is a measured soil response variable not an applied treatment; intervention is compost+biochar not HA,Egyptian Journal of Soil Science
10.3390/agronomy13051227,"The Changes in Various Physio-Biochemical Parameters and Yield Traits of Faba Bean Due to Humic Acid Plus 6-Benzylaminopurine Application under Deficit Irrigation",2023,UNSURE,HA plus 6-BAP applied to faba bean under deficit irrigation; yield traits reported; HA co-applied with cytokinin; needs full text to check for HA-only arm,Agronomy
10.1186/s40538-019-0149-0,"Humic acids and Herbaspirillum seropedicae change the extracellular H+ flux and gene expression in maize roots seedlings",2019,EXCLUDE,Mechanistic study on H+ flux and gene expression; no yield outcome measured; physiological/molecular study only,Chemical and Biological Technologies in Agriculture
10.3390/agronomy9090483,"Foliar Applications of Biostimulants Promote Growth Yield and Fruit Quality of Strawberry Plants Grown under Nutrient Limitation",2019,UNSURE,Foliar biostimulants including HA applied to strawberry; fruit yield reported; HA co-applied in biostimulant product with other components; needs full text to check HA isolation,Agronomy
10.3390/su11123417,,2019,EXCLUDE,Duplicate DOI entry,
10.21273/hortsci.45.6.906,"Humic Substances Generally Ineffective in Improving Vegetable Crop Nutrient Uptake or Productivity",2010,INCLUDE,Direct comparison of HA application vs control on vegetable crops; yield reported; HA is isolated treatment variable; INCLUDE — negative result papers are important for synthesis,HortScience
10.1081/css-120015906,"Effect of Different Levels of Lignitic Coal Derived Humic Acid on Growth of Maize Plants",2002,INCLUDE,HA applied to maize at different levels; growth and yield outcomes; HA isolated vs control; dose-response design,Communications in Soil Science and Plant Analysis
10.35495/ajab.2021.02.080,"Impact of soil applied humic acid zinc and boron supplementation on the growth yield and zinc translocation in wheat",2021,UNSURE,HA + Zn + B applied to wheat; grain yield reported; HA is one of three co-applied inputs; if factorial design has HA-only arm at same Zn+B level: INCLUDE; needs full text,Asian Journal of Agriculture and Biology
10.1016/j.scitotenv.2021.147778,"Mixture of controlled-release and conventional urea fertilizer application changed soil aggregate stability humic acid molecular composition and maize nitrogen uptake",2021,EXCLUDE,HA is a measured soil property (humic acid molecular composition) not an applied treatment; intervention is urea type; completely off-target,The Science of The Total Environment
10.20546/ijcmas.2016.511.078,"Effect of Foliar Application with Humic Acid Substances under Nitrogen Fertilization Levels on Quality and Yields of Sugar Beet Plant",2016,INCLUDE,HA applied foliar to sugar beet at different N levels; yield and quality reported; HA is isolated treatment within each N level; factorial design acceptable,International Journal of Current Microbiology and Applied Sciences
10.3390/agronomy12081919,"The Positive Effects of Humic/Fulvic Acid Fertilizers on the Quality of Lemon Fruits",2022,INCLUDE,Humic/fulvic acid fertilizer applied to lemon trees; fruit yield and quality reported; HA is isolated variable; field experiment,Agronomy
10.3390/app12020776,"How Does the Addition of Biostimulants Affect the Growth Yield and Quality Parameters of the Snap Bean",2022,UNSURE,Biostimulants applied to snap bean; yield reported; if HA is applied as one of multiple biostimulants in separate arms of a factorial: INCLUDE; needs full text,Applied Sciences
10.4067/s0718-58392013000400002,"Humic acid and cultivar effects on growth yield vase life and corm characteristics of gladiolus",2013,INCLUDE,HA applied to gladiolus; corm and flower yield reported; HA isolated vs control; cultivar x HA factorial; INCLUDE for HA vs control rows,Chilean Journal of Agricultural Research
10.3906/tar-1406-59,"Growth yield and calcium and boron uptake of tomato and cucumber as affected by calcium and boron humate application in greenhouse conditions",2015,INCLUDE,Ca/B humate applied to tomato and cucumber in greenhouse; fruit yield reported; HA-form of Ca/B vs equivalent non-humate control; greenhouse study acceptable per config,Turkish Journal of Agriculture and Forestry
10.1002/agj2.20482,"Physiological effects of humic acid in peanut growing in continuous cropping soil",2020,INCLUDE,HA applied to peanut in continuous cropping soil; peanut yield likely reported alongside physiological traits; HA isolated treatment; OA Agronomy Journal,Agronomy Journal
10.1016/j.geoderma.2018.12.014,"Effect of bentonite-humic acid application on the improvement of soil structure and maize yield in a sandy soil of a semi-arid region",2018,INCLUDE,Bentonite-HA composite applied to maize in sandy soil; maize yield reported; HA is the active component isolated vs control; field experiment in semi-arid region,Geoderma
10.5958/j.2230-732x.6.3.015,"Potassium Humate: A Potential Soil Conditioner and Plant Growth Promoter",2013,EXCLUDE,Review/perspective on potassium humate; no primary yield data from a controlled experiment,International Journal of Agriculture Environment and Biotechnology
10.1186/s40538-017-0106-8,"The biostimulant manufactured using diazotrophic endophytic bacteria and humates is effective to increase sugarcane yield",2017,EXCLUDE,HA + diazotrophic bacteria combined product; HA cannot be isolated from bacterial biostimulant component; intervention confounded,Chemical and Biological Technologies in Agriculture
10.28983/asj.y2022i3pp19-22,"The value of mineral fertilizers and products based on humic acids in the yield increasing of forage crops on the soils of the arid Volga region",2022,INCLUDE,HA products applied to forage crops in arid region; yield data reported; HA isolated variable; field experiment,The Agrarian Scientific Journal
10.3390/agronomy12092044,"Foliar Applications of Humic Substances Together with Fe/Nano Fe to Increase the Iron Content and Growth Parameters of Spinach",2022,EXCLUDE,Primary outcome is Fe content and growth parameters of spinach not harvestable yield; HA + Fe applied; outcome is quality/nutrition not yield,Agronomy
10.2174/1570180820666230411102209,"The Importance of Salicylic Acid Humic Acid and Fulvic Acid on Crop Production",2023,EXCLUDE,Review article on SA/HA/FA mechanisms; no primary experiment data,Letters in Drug Design and Discovery
,Humic Acid Improves Growth Yield and Oil Content of Brassica Compestris L.,2011,INCLUDE,HA applied to Brassica (mustard); oil and grain yield reported; HA isolated variable; no DOI but title and year clearly indicate primary experiment,Unknown journal
10.1016/j.scienta.2018.03.015,"The effect of humic acid on leaf morphophysiological and phytochemical properties of Echinacea purpurea L. under water deficit stress",2018,EXCLUDE,Primary outcomes are leaf morphophysiology and phytochemicals not harvestable yield; Echinacea is a medicinal plant not a food/feed crop; off-topic for this review,Scientia Horticulturae
10.3390/agronomy12030603,"Rate and Timing of Application of Biostimulant Substances to Enhance Fruit Tree Tolerance toward Environmental Stresses and Fruit Quality",2022,EXCLUDE,Review of biostimulant timing and rates; no primary experiment data,Agronomy
10.3390/plants9091183,"Enhanced Agronomic Efficiency Using a New Controlled-Released Polymeric-Coated Nitrogen Fertilizer in Rice",2020,EXCLUDE,Polymeric-coated N fertilizer on rice; HA is not the isolated intervention; off-topic,Plants
10.9734/ijpss/2020/v32i1230353,"Effects of Mono-Ammonium Phosphate and K-Humate Applications on Grain Yield and Phosphorus Uptake Efficiency of Bread Wheat",2020,INCLUDE,K-humate applied alongside MAP to bread wheat; grain yield and P uptake reported; HA (K-humate) vs no-humate control acceptable,International Journal of Plant and Soil Science
10.21608/asejaiqjsae.2018.10601,"Effect of Potassium Humate Application on Yield and Nutrient Uptake of Maize Grown In a Calcareous Soil",2018,INCLUDE,K-humate applied to maize in calcareous soil; maize yield reported; HA is isolated treatment; calcareous soil experiment,Alexandria Science Exchange Journal
10.21608/ejbo.2017.1070.1094,"Response of Salt-Stressed Wheat to Potassium Humate Treatment and Potassium Silicate Foliar Application",2017,UNSURE,K-humate + K-silicate applied to wheat under salt stress; grain yield reported; HA co-applied with K-silicate; needs full text to check if HA-only arm exists,Egyptian Journal of Botany
,Response of wheat plants to potassium humate application,2009,INCLUDE,K-humate applied to wheat; yield reported; straightforward HA vs control design inferred from title; no DOI but primary experiment,The Journal of Applied Sciences Research
10.1007/s11356-018-1821-9,"Effect of humic and fulvic acid transformation on cadmium availability to wheat cultivars in sewage sludge amended soil",2018,EXCLUDE,HA and FA measured as soil transformation products in sewage sludge soil; not applied as treatment; focus is Cd availability not yield; intervention is sewage sludge,Environmental Science and Pollution Research
10.21608/jssae.2015.42193,"Effect of Potassium Humate Application and Irrigation Water Levels on Maize Yield Crop Water Productivity and Some Soil Properties",2015,INCLUDE,K-humate applied to maize at different irrigation levels; maize yield reported; HA is isolated variable within each irrigation level; factorial design acceptable,Journal of Soil Sciences and Agricultural Engineering
10.1016/j.jece.2021.105700,"Biochar blended humate and vermicompost enhanced immobilization of heavy metals improved wheat productivity and minimized human health risks",2021,EXCLUDE,Biochar + humate + vermicompost applied together; HA cannot be isolated from biochar and vermicompost; intervention confounded,Journal of Environmental Chemical Engineering
10.1007/s11368-018-02240-z,"Effect of humic preparation on winter wheat productivity and rhizosphere microbial community under herbicide-induced stress",2019,INCLUDE,Humic preparation applied to wheat under herbicide stress; wheat productivity reported; HA is isolated treatment variable; INCLUDE,Journal of Soils and Sediments
10.1515/agri-2016-0009,"Spring Barley Yield Parameters after Lignite Sodium Humate and Nitrogen Utilization",2016,INCLUDE,Sodium humate (HA source) applied to spring barley; yield parameters reported; HA isolated vs control within N treatments; factorial acceptable,Agriculture (Polnohospodarstvo)
10.1080/01904167.2020.1862193,"Differential responses of rice to foliar fertilization of organic potassium salts",2020,UNSURE,Foliar K-humate + other organic K salts applied to rice; grain yield reported; K-humate (HA) is one of multiple potassium treatments; needs full text to determine if zero-HA control exists,Journal of Plant Nutrition
10.1016/0160-4120(96)00043-8,"Application of humus preparations from oxyhumolite in crop production",1996,INCLUDE,Humus preparations (humate source) applied to crops; yield reported; HA isolated vs control; historical paper,Environment International
10.17660/actahortic.2005.697.41,"Iron Supply of Cucumbers in Substrate Culture with Humate",2005,EXCLUDE,Humate applied to cucumbers in substrate culture (hydroponic-adjacent) primarily to supply Fe; primary outcome is Fe supply not yield; substrate culture excluded per config,Acta Horticulturae
,Evaluation of Drought Tolerance of Bread Wheat Genotypes Using Stress Tolerance Indices at Presence of Potassium Humate,2011,INCLUDE,K-humate applied to bread wheat genotypes under drought; yield data used to calculate stress tolerance indices; yield is measured outcome; INCLUDE for yield rows,Unknown journal
10.3390/su142114166,"Influence of Modified Urea Compounds to Improve Nitrogen Use Efficiency under Corn Growth System",2022,EXCLUDE,Modified urea compounds on corn; HA is one type of modified urea product; but focus is urea modification not HA as isolated variable; primary outcome is NUE not yield,Sustainability
10.21608/ejss.2022.154365.1523,"Interactive Effects of K-Humate Proline and Si and Zn Nanoparticles in Improving Salt Tolerance of Wheat in Arid Degraded Soils",2022,EXCLUDE,K-humate + proline + Si-Zn nanoparticles applied together; HA cannot be isolated from proline and nanoparticles; intervention confounded,Egyptian Journal of Soil Science
10.21162/pakjas/19.8151,"Effect of Phosphoric Acid and Potassium Humate on Growth and Yield of Maize in Saline-Sodic Soil",2019,INCLUDE,K-humate applied to maize in saline-sodic soil; yield reported; if factorial design has K-humate vs no-humate at same phosphoric acid level: INCLUDE,The Pakistan Journal of Agricultural Sciences
10.21608/ejss.2023.192023.1590,"Wheat Productivity as Influenced by Integrated Mineral Organic and Biofertilization",2023,EXCLUDE,Integrated mineral + organic + biofertilizer bundle applied to wheat; HA is one component of complex mixture; cannot isolate HA effect; confounded intervention,Egyptian Journal of Soil Science
,Influence of some stimulating compounds and nitrogen fertilizer levels on growth and yield of hybrid rice,2011,EXCLUDE,Stimulating compounds + N fertilizer applied to hybrid rice; HA is one compound in a multi-component application without isolation; needs full text but likely confounded,Journal of Agricultural Research
10.21608/mjss.2018.175436,"Response of Maize Plants to Different N-Sources and Foliar Application of Potassium Humate",2018,INCLUDE,K-humate foliar applied to maize at different N sources; maize yield likely reported; HA is isolated foliar treatment; INCLUDE per benchmark spec,Menoufia Journal of Soil Science
10.17660/actahortic.2005.697.42,"Effect of Biostimulators on Growth of Vegetables in Hydroponical Systems",2005,EXCLUDE,Biostimulators on vegetables in hydroponic systems; hydroponic excluded per config (HA acts on soil); off-target setting,Acta Horticulturae
10.1080/02571862.2021.2000051,"Is application of commercial potassium humates beneficial to soil and wheat?",2022,INCLUDE,Commercial K-humate applied to wheat; wheat yield reported; HA is isolated variable vs control; direct comparative experiment; INCLUDE,South African Journal of Plant and Soil
10.5958/2249-5266.2017.00026.1,"Nutrient uptake and yield of rice as influenced by coal derived potassium humate and chemical fertilizers",2017,INCLUDE,Coal-derived K-humate applied to rice alongside chemical fertilizers; rice yield reported; K-humate vs no-K-humate isolates HA effect,ORYZA — An International Journal on Rice
10.23910/ijbsm/2017.8.5.1826,"Improvement of Soil Fertility and Rice Productivity with Use of Coal Derived Humic Acid and Mineral Fertilization under Inceptisol of Varanasi India",2017,INCLUDE,Coal-derived HA applied to rice; rice productivity reported; HA is isolated treatment variable; INCLUDE,International Journal of Bio-resource and Stress Management
10.3390/ijpb15040076,"Microbiomes-Plant Interactions and K-Humate Application for Salinity Stress Mitigation and Yield Enhancement in Wheat and Faba Bean in Egypt",2024,INCLUDE,K-humate applied to wheat and faba bean under salinity stress; yield enhancement reported; HA is isolated treatment; OA MDPI,International Journal of Plant Biology
10.21608/jssae.2017.37490,"Impact of Amino Acids and Humic Substances Application on Some Soil Chemical Properties Along with Nutritional Status and Productivity of Wheat Grown under Saline Conditions",2017,EXCLUDE,HA + amino acids applied together; HA cannot be isolated from amino acid co-application; intervention confounded,Journal of Soil Sciences and Agricultural Engineering
10.3390/plants9111444,"Impact of Seed Dressing and Soil Application of Potassium Humate on Cotton Plants Productivity and Fiber Quality",2020,INCLUDE,K-humate applied as seed dressing and soil application to cotton; cotton productivity reported; HA isolated variable; OA Plants,Plants
10.21608/jssae.2020.103587,"Effect of Gypsum K-Humate and Plant Growth Promoting Bacteria on Improvement of Soil Properties and Productivity of Wheat and Maize Irrigated by Saline Water",2020,EXCLUDE,Gypsum + K-humate + bacteria applied together; HA cannot be isolated from gypsum and bacteria; intervention confounded,Journal of Soil Sciences and Agricultural Engineering
10.5897/ajar11.840,"Selection based on tolerance of wheat against terminal drought: Focus on grain yield at the presence of liquid humic fertilizer",2011,INCLUDE,Liquid humic fertilizer applied to wheat under drought; grain yield reported; HA isolated variable vs control; focus on drought tolerance screening,African Journal of Agricultural Research
10.28983/asj.v0i4.449,"Effectiveness of the application of humate and biological preparations rizoagrin and flavobacterin on winter wheat",2018,EXCLUDE,Humate + biological preparations (bacteria) applied together; HA cannot be isolated from Rizoagrin+Flavobacterin; intervention confounded,The Agrarian Scientific Journal
10.15407/agrisp7.02.044,"Optimization of factors of managing productive processes of winter wheat in the Forest-steppe",2020,UNSURE,Factors management for winter wheat; HA appears as one of multiple inputs being optimized; needs full text to determine if HA is isolated variable,Agricultural Science and Practice
10.30958/ajs.6-2-4,"Effect of Irrigation Canal Sediments Humate Fertilizer and Irrigation Interval on Wheat Performance in Desert Soils",2019,EXCLUDE,Canal sediments + humate + irrigation interval factorial; HA co-applied with canal sediments; cannot isolate HA from organic matter in sediments; confounded,Athens Journal of Sciences
,Peculiarities of photosynthesis in spelt in the Forest Steppe Zone of Ukraine,2023,EXCLUDE,Primary outcomes are photosynthesis traits not yield; no HA treatment as intervention; off-topic,Advanced Agritechnologies
10.1016/j.envres.2021.110824,"The influence of fulvic acid on spring cereals and sugar beets seed germination and plant productivity",2021,INCLUDE,FA applied to spring cereals and sugar beets; seed germination and plant productivity reported; FA is isolated variable; INCLUDE for yield/productivity rows,Environmental Research
10.1038/s41598-020-65730-6,"Biochar and fulvic acid amendments mitigate negative effects of coastal saline soil and improve crop yields in a three year field trial",2020,INCLUDE,Biochar + FA applied to crops; if factorial design has FA-only arm vs no-FA: INCLUDE; 3-year field trial; Scientific Reports OA; needs confirmation of FA isolation but likely acceptable,Scientific Reports
10.1186/s42269-018-0040-3,"Improve quality and productivity of some faba bean cultivars with foliar application of fulvic acid",2019,INCLUDE,FA applied foliar to faba bean cultivars; productivity reported; FA isolated variable; INCLUDE,Bulletin of the National Research Centre
10.1093/jxb/eraa283,"Fulvic acid increases forage legume growth inducing preferential up-regulation of nodulation and signalling-related genes",2020,INCLUDE,FA applied to forage legumes; growth (and likely yield/biomass) reported; FA isolated vs control; OA J Experimental Botany,Journal of Experimental Botany
10.1007/s12355-020-00837-8,"Efficacy of Nanofertilizer Fulvic Acid and Boron Fertilizer on Sugar Beet Yield and Quality",2020,UNSURE,Nanofertilizer + FA + B applied to sugar beet; yield and quality reported; FA co-applied with nanofertilizer and B; needs full text to determine if FA-only arm exists in factorial,Sugar Tech
10.1016/j.jhazmat.2023.132399,"Remediation of the microecological environment of heavy metal-contaminated soil with fulvic acid improves the quality and yield of apple",2023,INCLUDE,FA applied to contaminated soil for apple trees; apple yield improvement reported; FA isolated as remediation treatment; INCLUDE,Journal of Hazardous Materials
10.1007/s10725-017-0297-9,"Compensating effect of fulvic acid and super-absorbent polymer on leaf gas exchange and water use efficiency of maize under moderate water deficit conditions",2017,EXCLUDE,Primary outcomes are leaf gas exchange and WUE not yield; no yield data stated in title; likely physiological study only,Plant Growth Regulation
10.1007/s00344-015-9509-6,"Improving Winter Wheat Performance by Foliar Spray of ABA and FA Under Water Deficit Conditions",2015,INCLUDE,FA foliar applied to winter wheat under water deficit; wheat performance (yield) reported; FA isolated alongside ABA; if FA-only arm exists: INCLUDE; needs full text,Journal of Plant Growth Regulation
10.1139/cjps-2016-0143,"Fulvic and humic acid fertilizers are ineffective in dry bean",2016,INCLUDE,FA and HA applied to dry bean; yield reported; FA and HA isolated vs control; important NEGATIVE result for unbiased synthesis; Canadian Journal,Canadian Journal of Plant Science
10.21608/jssae.2011.55419,"Impact of Applied Humic and Fulvic Acids on the Soil Physic-Chemical Properties and Cucumber Productivity under Protected Cultivation Conditions",2011,INCLUDE,HA and FA applied to cucumber under protected cultivation; cucumber productivity reported; HA/FA isolated vs control; pot/greenhouse acceptable per config,Journal of Soil Sciences and Agricultural Engineering
10.1080/01904167.2022.2046063,"Promote sugar beet cultivation in saline soil by applying humic substances in-soil and mineral nitrogen fertilization",2022,INCLUDE,Humic substances applied in-soil to sugar beet under saline conditions; yield reported; HA is isolated variable within N levels; factorial acceptable,Journal of Plant Nutrition
10.5513/jcea01/19.1.2033,"Response of sugar beet to humic substances and foliar fertilization with potassium",2018,INCLUDE,HA applied to sugar beet alongside K foliar; sugar beet yield reported; if HA vs no-HA at same K level: INCLUDE; factorial acceptable,Journal of Central European Agriculture
10.21608/assjm.2015.109889,"Role of Humic Substances and Compost Tea in Improvement of Endogenous Hormones Content Flowering and Yield of Faba Bean",2015,EXCLUDE,HA + compost tea applied together; HA cannot be isolated from compost tea; intervention confounded,Annals of Agricultural Science Moshtohor
